//X,Y,Z,Temp. approx. distances,Roughness (1.22938),Mean curvature (1.22938),Gaussian curvature (1.22938),Normal change rate (1.22938),Number of neighbors (r=1.22938),Surface density (r=1.22938),Volume density (r=1.22938),Eigenvalues sum (1.22938),Omnivariance (1.22938),Eigenentropy (1.22938),Anisotropy (1.22938),Planarity (1.22938),Linearity (1.22938),PCA1 (1.22938),PCA2 (1.22938),Surface variation (1.22938),Sphericity (1.22938),Verticality (1.22938),Nx,Ny,Nz
17.34400558,18.94324112,8.12399960,0.027780,0.193789,0.738876,0.000505,0.073352,25.000000,5.265244,3.212136,0.648280,0.160477,0.856287,0.867131,0.545657,0.321474,0.552060,0.374588,0.073352,0.132869,0.153669,-0.116859,-0.622757,-0.773639
-11.24999619,18.94324112,8.12399960,-0.086281,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-11.71999550,18.94324112,8.12399960,-0.072397,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632735,0.002452,0.723176,1.000000,0.776709,0.223290,0.562838,0.437162,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
16.87400436,18.94324112,8.12399960,-0.041102,0.103165,0.427954,0.025019,0.053936,27.000000,5.686464,3.469107,0.712810,0.162889,0.854605,0.896905,0.705254,0.191651,0.523165,0.422900,0.053936,0.103095,0.202937,0.001377,-0.756234,-0.654300
-14.53199577,18.94324112,8.12399960,-0.068959,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
-14.06399536,18.94324112,8.12399960,-0.080423,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
16.40600586,18.94324112,8.12399960,-0.076639,0.035563,0.235023,0.031284,0.021389,24.000000,5.054635,3.083651,0.696328,0.119333,0.790502,0.961347,0.729856,0.231491,0.553354,0.425257,0.021389,0.038653,0.259707,-0.001377,-0.756234,-0.654300
-10.78199577,19.21323776,7.81200027,-0.082065,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632238,0.003061,0.723148,0.999999,0.777539,0.222460,0.562575,0.437425,0.000000,0.000001,0.345150,-0.001377,-0.756234,-0.654300
0.46800613,18.94324112,8.12399960,-0.082917,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777683,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
0.00000572,18.94324112,8.12399960,-0.083970,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222120,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
